,Runs,BF,SR,4s,6s
3055,0.4059614736661619,0.4880582552780066,0.23269602297279793,0.3306604496434072,0.585732623956458
3056,0.17927073623434497,0.3989345738794141,-0.023205445353944046,-0.8266511241085178,0.585732623956458
3057,0.43834586472785003,0.3098108924808216,0.5706215381009586,-0.8266511241085178,1.8473105832472905
3060,0.37357708260447375,0.785137193273315,-0.17810209571860727,0.3306604496434072,0.585732623956458
3061,0.7945741664064194,1.1713398126672159,-0.013715059773614518,0.7164309742273821,-0.6758453353343745
3062,-0.824645386677987,-0.7893811781018193,-0.36994346137812495,-0.8266511241085178,-0.6758453353343745
3063,0.6974209932213551,0.3395187862803525,0.9787081180551265,1.102201498811357,1.8473105832472905
3064,2.0251810267505683,2.0031608390540794,0.5085950894866619,1.102201498811357,0.585732623956458
3065,-0.14457317438253633,-0.046683833113548394,0.03712629154957918,0.7164309742273821,-0.6758453353343745
3066,-1.2132580794182446,-1.234999585094782,-1.9033186172856469,-1.2124216486924928,-0.6758453353343745
3067,-0.43603269393772953,-0.1358075145121409,-0.49772472437041826,-0.8266511241085178,-0.6758453353343745
3068,2.964328367539524,2.419071352247511,0.9475254225769009,3.0310541217312323,3.108888542538123
3069,-0.7922609956162989,-0.9676285408990043,0.6953523200138603,-0.44088059952454284,-0.6758453353343745
3070,-0.7922609956162989,-0.8785048595004118,0.16795803562126427,-1.2124216486924928,-0.6758453353343745
3071,0.08211756304928058,-0.19522330211120256,0.9214268622309949,1.4879720233953322,-0.6758453353343745
3073,-0.43000773879454707,0.022838493207748185,-0.6858071562131952,-0.3161827503200072,-0.33366879935646004
3074,-0.09513445548551928,0.9160773386663454,-0.290027262681963,-0.3161827503200072,-0.33366879935646004
3075,0.32345714865076547,1.5860064727602936,-0.07643993392323564,-0.3161827503200072,-0.33366879935646004
3076,-0.43000773879454707,-0.5354357852038751,-0.6858071562131952,-0.3161827503200072,-0.33366879935646004
3077,-0.2625710971400332,-0.20047121815690117,0.17188750252516424,-0.3161827503200072,-0.33366879935646004
3078,-0.43000773879454707,-0.5354357852038751,-0.6858071562131952,-0.3161827503200072,-0.33366879935646004
3079,-0.43000773879454707,-0.5354357852038751,-0.6858071562131952,-0.3161827503200072,-0.33366879935646004
3080,-0.3462894179672901,-0.4237809295215505,0.6008634989598614,-0.3161827503200072,-0.33366879935646004
3081,-0.43000773879454707,-0.5354357852038751,-0.6858071562131952,-0.3161827503200072,-0.33366879935646004
3082,-0.43000773879454707,-0.5354357852038751,-0.6858071562131952,-0.3161827503200072,-0.33366879935646004
3083,0.23973882782350853,0.24614820457239753,0.7846000685185739,-0.3161827503200072,-0.33366879935646004
3084,0.6583304319597932,0.5811127716193716,0.9868646955117784,-0.3161827503200072,0.8897834649505602
3085,-0.43000773879454707,-0.5354357852038751,-0.6858071562131952,-0.3161827503200072,-0.33366879935646004
3086,-0.43000773879454707,-0.5354357852038751,-0.6858071562131952,-0.3161827503200072,-0.33366879935646004
3087,-0.43000773879454707,-0.5354357852038751,-0.6858071562131952,-0.3161827503200072,-0.33366879935646004
